,CUSTOMER_ID,GENDER,AVG_MONTHLY_TRANSACTIONS,DAILY_AVG_APP_DURATION,RESIDENTIAL,Bank_type,SUBSCRIPTION_STATUS
43,1043,M,22652,8,Rural,Cooperative,0
44,1044,F,850,21,Urban,Pvt,0
45,1045,M,1550,9,Urban,Cooperative,0
46,1046,M,40920,6,Rural,Cooperative,1
47,1047,F,700,3,Urban,Gvt,0
48,1048,F,1649,6,Urban,Cooperative,1
49,1049,M,1649,7,Rural,Undertaking,0
50,1050,F,1647,12,Rural,Cooperative,0
51,1051,M,1550,15,Urban,Undertaking,1
52,1052,F,40920,7,Urban,Undertaking,1
53,1053,F,4990,9,Rural,Cooperative,1
54,1054,M,1260,6,Urban,Cooperative,0
55,1055,F,13340,20,Rural,Gvt,0
56,1056,F,700,14,Rural,Gvt,1
57,1057,F,22652,6,Urban,Pvt,1
58,1058,F,10401,21,Rural,Cooperative,0
59,1059,M,26000,14,Urban,Gvt,0
60,1060,F,7210,7,Rural,Undertaking,0
61,1061,F,9420,12,Rural,Cooperative,0
62,1062,F,1290,21,Urban,Cooperative,0
63,1063,F,958,7,Urban,Undertaking,0
64,1064,F,40920,16,Urban,Gvt,0
65,1065,M,1900,20,Urban,Undertaking,1
66,1066,F,854,12,Rural,Gvt,0
67,1067,F,4579,7,Rural,Pvt,1
68,1068,F,1647,8,Urban,Pvt,1
69,1069,F,7210,18,Urban,Pvt,1
70,1070,M,4968,14,Rural,Cooperative,0
71,1071,M,40920,6,Urban,Gvt,1
72,1072,M,7520,14,Rural,Cooperative,1
73,1073,M,520,7,Urban,Undertaking,1
74,1074,F,1290,14,Rural,Pvt,0
75,1075,M,12670,8,Urban,Cooperative,0
76,1076,F,5652,17,Rural,Gvt,0
77,1077,F,577,1,Rural,Undertaking,1
78,1078,M,1700,8,Urban,Undertaking,0
79,1079,M,5289,4,Urban,Pvt,1
80,1080,F,52000,9,Rural,Cooperative,1
81,1081,F,96874,7,Urban,Cooperative,0
82,1082,M,5289,14,Urban,Pvt,0
83,1083,M,4968,8,Urban,Gvt,0
84,1084,M,3340,3,Rural,Undertaking,1
85,1085,F,7210,52,Rural,Gvt,1
86,1086,F,520,6,Rural,Cooperative,0
87,1087,M,3340,20,Urban,Gvt,1
88,1088,M,1487,18,Urban,Pvt,1
89,1089,F,4968,16,Urban,Gvt,1
90,1090,F,1750,7,Rural,Cooperative,1
91,1091,F,1649,16,Urban,Undertaking,1
92,1092,F,5652,18,Rural,Undertaking,0
93,1093,M,4990,1,Rural,Undertaking,1
94,1094,F,1400,12,Urban,Undertaking,1
95,1095,M,42586,4,Urban,Gvt,0
96,1096,M,4579,8,Urban,Gvt,1
97,1097,F,4990,14,Urban,Pvt,0
98,1098,M,52000,1,Urban,Pvt,0
99,1099,M,520,15,Urban,Undertaking,1
100,1100,F,7220,1,Rural,Undertaking,0
101,1101,M,1750,6,Urban,Pvt,0
102,1102,F,52000,8,Urban,Cooperative,0
103,1103,M,1487,15,Rural,Pvt,0
104,1104,M,153,8,Rural,Cooperative,0
105,1105,F,1700,9,Rural,Pvt,1
106,1106,M,1100,8,Rural,Cooperative,1
107,1107,M,24000,12,Urban,Pvt,1
108,1108,M,8596,6,Rural,Undertaking,0
109,1109,M,13340,17,Rural,Undertaking,1
110,1110,F,4968,8,Rural,Cooperative,1
111,1111,M,42586,14,Urban,Pvt,1
112,1112,F,1210,1,Rural,Gvt,1
113,1113,F,99153200,14,Urban,Pvt,1
114,1114,M,1260,1,Urban,Undertaking,0
115,1115,M,1210,12,Rural,Undertaking,0
116,1116,M,13340,8,Rural,Gvt,1
117,1117,M,4968,20,Rural,Undertaking,1
118,1118,F,8596,8,Rural,Undertaking,1
119,1119,F,1210,52,Rural,Undertaking,0
120,1120,M,1260,9,Urban,Gvt,1
121,1121,F,577,14,Rural,Undertaking,1
122,1122,F,7520,21,Urban,Undertaking,1
123,1123,M,7520,7,Urban,Pvt,0
124,1124,F,4990,8,Rural,Cooperative,1
125,1125,F,1750,8,Urban,Undertaking,1
126,1126,M,9420,14,Rural,Pvt,0
127,1127,F,415,3,Urban,Pvt,1
128,1128,M,7520,9,Urban,Pvt,0
129,1129,M,3340,15,Rural,Gvt,0
130,1130,F,6647,9,Rural,Cooperative,1
131,1131,F,5652,7,Urban,Undertaking,1
132,1132,F,958,8,Urban,Undertaking,1
133,1133,F,7459,16,Urban,Pvt,0
134,1134,M,400,8,Urban,Cooperative,1
135,1135,F,7210,14,Rural,Gvt,1
136,1136,M,1210,3,Urban,Pvt,0
137,1137,M,1649,20,Rural,Gvt,0
138,1138,M,1260,16,Urban,Pvt,0
139,1139,F,15250,9,Urban,Undertaking,0
140,1140,F,1487,20,Rural,Undertaking,1
141,1141,M,9420,8,Rural,Cooperative,1
142,1142,F,99153200,16,Rural,Pvt,1
143,1143,M,40920,8,Rural,Pvt,0
144,1144,M,700,17,Rural,Pvt,0
145,1145,F,700,14,Urban,Cooperative,0
146,1146,M,900,9,Rural,Undertaking,0
147,1147,M,12670,9,Urban,Pvt,0
148,1148,F,577,17,Rural,Undertaking,0
149,1149,F,13340,9,Rural,Pvt,0
150,1150,M,7520,14,Rural,Undertaking,0
151,1151,M,6271,14,Urban,Undertaking,0
152,1152,M,1290,52,Urban,Gvt,0
153,1153,M,1649,1,Rural,Cooperative,0
154,1154,F,6271,15,Rural,Gvt,0
155,1155,F,4990,16,Urban,Cooperative,1
156,1156,F,6271,12,Rural,Cooperative,1
157,1157,F,1647,3,Rural,Undertaking,0
158,1158,F,1900,52,Urban,Gvt,0
159,1159,F,5652,3,Rural,Undertaking,1
160,1160,M,24000,8,Rural,Undertaking,1
161,1161,M,415,1,Rural,Undertaking,0
162,1162,M,1900,18,Rural,Pvt,1
163,1163,M,2500,1,Urban,Cooperative,0
164,1164,F,7210,20,Urban,Gvt,1
165,1165,M,577,8,Rural,Gvt,0
166,1166,M,900,9,Urban,Pvt,0
167,1167,M,700,9,Urban,Pvt,1
168,1168,M,15250,8,Urban,Pvt,1
169,1169,F,40920,9,Rural,Pvt,1
170,1170,F,5289,12,Urban,Cooperative,0
171,1171,F,415,8,Rural,Undertaking,1
172,1172,M,1290,9,Urban,Pvt,1
173,1173,F,1400,1,Rural,Undertaking,1
174,1174,F,1750,14,Rural,Cooperative,0
175,1175,F,2500,15,Urban,Gvt,0
176,1176,M,577,12,Urban,Gvt,1
177,1177,F,1487,7,Rural,Undertaking,0
178,1178,F,415,12,Rural,Undertaking,1
179,1179,F,42586,8,Rural,Pvt,1
180,1180,M,42586,20,Urban,Gvt,1
181,1181,M,8596,52,Rural,Gvt,0
182,1182,M,958,1,Urban,Cooperative,0
183,1183,M,7220,52,Rural,Gvt,0
184,1184,F,12670,14,Urban,Pvt,1
185,1185,F,6271,15,Rural,Cooperative,0
186,1186,M,4990,18,Urban,Cooperative,1
187,1187,F,96874,9,Rural,Cooperative,0
188,1188,M,1900,52,Rural,Cooperative,1
189,1189,M,99153200,1,Urban,Undertaking,1
190,1190,F,7220,15,Rural,Gvt,0
191,1191,M,1400,3,Rural,Pvt,0
192,1192,M,1290,18,Rural,Cooperative,0
193,1193,F,99153200,7,Urban,Undertaking,0
194,1194,F,52000,6,Urban,Cooperative,1
195,1195,F,900,7,Urban,Pvt,1
196,1196,M,7459,4,Urban,Pvt,0
197,1197,M,26000,16,Rural,Gvt,1
198,1198,F,52000,4,Rural,Cooperative,0
199,1199,F,6647,8,Urban,Undertaking,0
200,1200,M,3340,8,Rural,Pvt,1
201,1201,M,520,6,Rural,Cooperative,1
202,1202,F,3340,7,Rural,Pvt,1
203,1203,F,400,17,Rural,Gvt,1
204,1204,F,700,8,Urban,Cooperative,0
205,1205,M,400,21,Rural,Undertaking,1
206,1206,M,1400,15,Urban,Gvt,0
207,1207,M,12670,20,Rural,Cooperative,0
208,1208,M,1550,8,Rural,Pvt,1
209,1209,M,6647,14,Urban,Pvt,0
210,1210,M,577,18,Urban,Cooperative,1
211,1211,F,854,9,Rural,Undertaking,1
212,1212,F,96874,20,Rural,Pvt,1
213,1213,F,1900,9,Rural,Cooperative,0
214,1214,M,52000,52,Urban,Undertaking,1
215,1215,M,520,7,Rural,Undertaking,1
216,1216,F,42586,14,Urban,Cooperative,1
217,1217,F,22652,15,Rural,Cooperative,0
218,1218,M,52000,6,Rural,Gvt,1
219,1219,F,958,8,Rural,Cooperative,1
220,1220,M,400,8,Rural,Undertaking,1
221,1221,M,520,9,Urban,Pvt,0
222,1222,M,1700,9,Urban,Pvt,1
223,1223,M,99153200,1,Urban,Undertaking,1
224,1224,F,5289,20,Rural,Pvt,1
225,1225,M,4968,4,Rural,Pvt,1
226,1226,M,850,4,Urban,Undertaking,1
227,1227,M,900,14,Urban,Gvt,0
228,1228,M,3340,14,Rural,Pvt,0
229,1229,F,1290,3,Rural,Undertaking,0
230,1230,F,6647,21,Urban,Undertaking,1
231,1231,F,40920,7,Rural,Pvt,1
232,1232,M,4968,14,Urban,Undertaking,0
233,1233,F,13340,15,Urban,Gvt,0
234,1234,M,900,15,Rural,Gvt,0
235,1235,M,42586,8,Urban,Cooperative,1
236,1236,F,5652,7,Urban,Undertaking,1
237,1237,F,850,1,Urban,Gvt,1
238,1238,F,96874,9,Urban,Undertaking,1
239,1239,M,1260,16,Urban,Undertaking,1
240,1240,M,52000,21,Urban,Undertaking,0
241,1241,M,99153200,8,Urban,Cooperative,0
242,1242,M,99153200,9,Urban,Pvt,0
243,1243,M,400,14,Urban,Pvt,0
244,1244,F,153,7,Rural,Undertaking,0
245,1245,M,24000,7,Urban,Undertaking,1
246,1246,M,9420,7,Rural,Cooperative,1
247,1247,F,1700,9,Rural,Pvt,1
248,1248,M,415,4,Rural,Pvt,0
249,1249,F,8596,6,Urban,Cooperative,0
250,1250,F,1260,21,Rural,Undertaking,0
251,1251,M,5652,21,Rural,Cooperative,0
252,1252,F,854,14,Rural,Gvt,1
253,1253,M,7459,6,Urban,Gvt,0
254,1254,F,400,1,Urban,Pvt,1
255,1255,F,4990,6,Rural,Undertaking,0
256,1256,F,2500,21,Rural,Cooperative,1
257,1257,M,1487,7,Rural,Cooperative,1
258,1258,M,7220,14,Rural,Pvt,1
259,1259,M,13340,15,Rural,Pvt,0
260,1260,M,2500,21,Rural,Undertaking,1
261,1261,M,1100,7,Rural,Pvt,1
262,1262,F,13340,18,Rural,Gvt,0
263,1263,F,7220,3,Urban,Pvt,0
264,1264,F,958,6,Rural,Undertaking,1
265,1265,F,1700,20,Rural,Pvt,1
266,1266,F,8596,15,Rural,Undertaking,1
267,1267,M,4990,21,Rural,Undertaking,0
268,1268,F,1900,6,Urban,Undertaking,0
269,1269,F,850,4,Rural,Cooperative,0
270,1270,M,1260,14,Urban,Undertaking,1
271,1271,M,1550,1,Rural,Pvt,1
272,1272,F,520,16,Urban,Undertaking,1
273,1273,F,1400,3,Urban,Undertaking,1
274,1274,F,1100,20,Urban,Undertaking,1
275,1275,M,4990,21,Urban,Undertaking,1
276,1276,M,2500,14,Rural,Undertaking,1
277,1277,F,1649,12,Rural,Pvt,1
278,1278,F,4990,18,Urban,Undertaking,1
279,1279,F,9420,9,Urban,Cooperative,1
280,1280,F,5652,3,Urban,Pvt,1
281,1281,F,2500,16,Urban,Undertaking,0
282,1282,M,96874,15,Urban,Undertaking,0
283,1283,F,5652,6,Urban,Gvt,0
284,1284,F,8596,8,Urban,Gvt,1
285,1285,F,415,4,Urban,Gvt,0
286,1286,F,7520,14,Rural,Cooperative,0
287,1287,M,8596,8,Urban,Undertaking,0
288,1288,F,520,9,Rural,Undertaking,0
289,1289,F,4579,6,Urban,Cooperative,0
290,1290,F,13340,4,Urban,Cooperative,1
291,1291,M,52000,9,Rural,Pvt,1
292,1292,M,1487,4,Rural,Pvt,1
293,1293,F,1100,16,Rural,Cooperative,1
294,1294,M,40920,8,Urban,Pvt,1
295,1295,M,7459,6,Urban,Undertaking,0
296,1296,M,1649,6,Rural,Cooperative,0
297,1297,F,52000,9,Rural,Pvt,1
298,1298,M,4990,14,Rural,Cooperative,1
299,1299,M,1100,20,Urban,Cooperative,0
300,1300,M,1260,14,Urban,Gvt,1
301,1301,F,8596,7,Urban,Cooperative,1
302,1302,M,1100,9,Rural,Gvt,1
303,1303,M,1400,14,Rural,Gvt,0
304,1304,M,13340,17,Rural,Undertaking,0
305,1305,M,3254,8,Urban,Cooperative,1
306,1306,M,9420,12,Rural,Cooperative,1
307,1307,M,4968,9,Rural,Pvt,0
308,1308,F,7220,20,Rural,Cooperative,0
309,1309,M,1700,8,Rural,Undertaking,0
310,1310,M,520,8,Urban,Undertaking,1
311,1311,M,12670,8,Urban,Undertaking,1
312,1312,M,7210,9,Rural,Cooperative,0
313,1313,F,958,17,Rural,Gvt,1
314,1314,F,26000,12,Rural,Undertaking,0
315,1315,M,958,52,Urban,Undertaking,1
316,1316,M,577,8,Urban,Gvt,0
317,1317,F,850,12,Rural,Cooperative,0
318,1318,F,2500,9,Rural,Cooperative,1
319,1319,F,8596,14,Urban,Undertaking,1
320,1320,F,1900,6,Urban,Pvt,0
321,1321,F,3254,12,Rural,Cooperative,1
322,1322,M,7210,7,Urban,Cooperative,1
323,1323,M,5652,7,Urban,Gvt,0
324,1324,M,96874,8,Urban,Gvt,1
325,1325,F,40920,8,Rural,Undertaking,0
326,1326,F,10401,6,Urban,Pvt,1
327,1327,M,15250,6,Urban,Pvt,1
328,1328,M,415,20,Rural,Undertaking,1
329,1329,F,1647,20,Urban,Undertaking,1
330,1330,F,3340,52,Rural,Gvt,1
331,1331,F,1550,21,Rural,Pvt,1
332,1332,M,24000,21,Urban,Cooperative,1
333,1333,F,7210,7,Rural,Pvt,0
334,1334,F,1649,3,Urban,Undertaking,0
335,1335,M,1550,15,Urban,Gvt,1
336,1336,M,99153200,6,Urban,Undertaking,0
337,1337,M,8596,17,Urban,Undertaking,1
338,1338,F,9420,12,Rural,Gvt,0
339,1339,M,13340,12,Rural,Undertaking,0
340,1340,M,1290,12,Urban,Cooperative,0
341,1341,F,6271,14,Rural,Gvt,0
342,1342,F,4990,9,Urban,Undertaking,0
343,1343,F,7220,7,Rural,Undertaking,0
344,1344,F,9420,7,Rural,Undertaking,1
345,1345,M,153,9,Rural,Cooperative,0
346,1346,M,900,15,Rural,Cooperative,0
347,1347,M,900,14,Rural,Undertaking,1
348,1348,M,13340,14,Rural,Gvt,1
349,1349,F,9420,1,Rural,Pvt,1
350,1350,F,6647,3,Urban,Undertaking,0
351,1351,M,900,6,Urban,Undertaking,0
352,1352,M,1100,12,Rural,Pvt,1
353,1353,M,1260,20,Urban,Undertaking,1
354,1354,F,96874,7,Rural,Cooperative,1
355,1355,F,850,3,Rural,Undertaking,1
356,1356,M,1260,8,Rural,Pvt,1
357,1357,M,900,52,Rural,Pvt,1
358,1358,M,7520,7,Rural,Gvt,0
359,1359,M,577,52,Urban,Pvt,1
360,1360,F,42586,9,Urban,Undertaking,1
361,1361,F,8596,16,Rural,Undertaking,0
362,1362,F,958,52,Rural,Undertaking,1
363,1363,M,1487,7,Urban,Undertaking,0
364,1364,F,1649,6,Rural,Gvt,0
365,1365,M,700,3,Rural,Cooperative,1
366,1366,M,42586,3,Rural,Pvt,1
367,1367,M,854,14,Rural,Cooperative,1
368,1368,F,1649,8,Urban,Pvt,0
369,1369,F,7459,20,Rural,Cooperative,1
370,1370,M,1649,6,Rural,Undertaking,0
371,1371,F,40920,3,Urban,Gvt,1
372,1372,F,26000,4,Urban,Cooperative,0
373,1373,M,153,8,Rural,Cooperative,1
374,1374,F,958,21,Urban,Undertaking,0
375,1375,F,1487,7,Rural,Cooperative,1
376,1376,M,1647,9,Rural,Cooperative,1
377,1377,M,1750,1,Urban,Cooperative,1
378,1378,M,8596,8,Rural,Cooperative,1
379,1379,F,40920,4,Rural,Gvt,1
380,1380,F,8596,3,Rural,Undertaking,0
381,1381,M,1750,6,Rural,Undertaking,1
382,1382,F,1900,16,Urban,Pvt,1
383,1383,M,5652,7,Urban,Cooperative,1
384,1384,M,958,7,Rural,Cooperative,1
385,1385,F,577,1,Rural,Gvt,1
386,1386,M,1700,6,Rural,Pvt,0
387,1387,F,15250,6,Rural,Cooperative,1
388,1388,F,24000,3,Rural,Undertaking,1
389,1389,M,700,7,Rural,Undertaking,0
390,1390,M,400,4,Urban,Gvt,1
391,1391,M,22652,12,Rural,Undertaking,0
392,1392,F,8596,6,Rural,Gvt,0
393,1393,M,1647,21,Rural,Pvt,0
394,1394,F,96874,9,Urban,Gvt,1
395,1395,M,1700,14,Urban,Gvt,0
396,1396,F,7210,7,Rural,Cooperative,0
397,1397,F,99153200,6,Urban,Cooperative,1
398,1398,M,99153200,9,Urban,Pvt,1
399,1399,M,520,17,Rural,Gvt,1
400,1400,F,577,12,Urban,Pvt,1
401,1401,F,520,17,Urban,Cooperative,0
402,1402,F,1290,17,Urban,Pvt,0
403,1403,F,52000,6,Rural,Undertaking,0
404,1404,F,96874,16,Rural,Undertaking,1
405,1405,M,22652,4,Rural,Gvt,0
406,1406,M,13340,7,Rural,Cooperative,1
407,1407,F,24000,16,Rural,Pvt,0
408,1408,M,99153200,52,Urban,Pvt,0
409,1409,F,1290,12,Urban,Undertaking,0
410,1410,M,7220,7,Urban,Pvt,0
411,1411,F,1260,8,Urban,Gvt,0
412,1412,M,8596,3,Rural,Undertaking,0
413,1413,F,1649,17,Rural,Pvt,1
414,1414,F,520,1,Urban,Pvt,1
415,1415,F,12670,17,Urban,Pvt,0
416,1416,F,415,16,Urban,Pvt,0
417,1417,M,15250,4,Rural,Gvt,0
418,1418,M,850,17,Rural,Gvt,1
419,1419,M,6271,52,Rural,Pvt,1
420,1420,M,10401,9,Urban,Cooperative,0
421,1421,M,958,20,Urban,Pvt,0
422,1422,F,6271,6,Rural,Gvt,1
423,1423,F,1647,7,Urban,Cooperative,1
424,1424,F,40920,21,Rural,Cooperative,1
425,1425,F,22652,6,Rural,Cooperative,0
426,1426,M,15250,9,Rural,Undertaking,1
427,1427,F,850,14,Urban,Undertaking,0
428,1428,M,24000,8,Urban,Gvt,0
429,1429,F,42586,17,Urban,Cooperative,1
430,1430,M,99153200,4,Rural,Gvt,1
431,1431,M,24000,7,Urban,Undertaking,0
432,1432,M,1700,8,Rural,Gvt,0
433,1433,F,1100,7,Urban,Cooperative,0
434,1434,F,520,1,Rural,Cooperative,1
435,1435,M,1750,7,Rural,Cooperative,1
436,1436,F,1100,14,Rural,Undertaking,1
437,1437,F,5652,7,Urban,Pvt,1
438,1438,F,7210,8,Urban,Cooperative,1
439,1439,M,7459,6,Rural,Pvt,0
440,1440,F,850,20,Urban,Undertaking,1
441,1441,F,22652,16,Rural,Pvt,1
442,1442,F,2500,15,Urban,Undertaking,0
443,1443,F,8596,18,Rural,Gvt,1
444,1444,M,153,18,Rural,Cooperative,1
445,1445,F,15250,15,Urban,Cooperative,0
446,1446,M,52000,6,Urban,Undertaking,1
447,1447,F,2500,1,Rural,Gvt,1
448,1448,F,9420,8,Rural,Gvt,1
449,1449,M,7459,16,Rural,Cooperative,1
450,1450,M,4990,1,Rural,Cooperative,1
451,1451,F,577,7,Urban,Undertaking,1
452,1452,M,958,9,Rural,Pvt,0
453,1453,F,1647,18,Rural,Pvt,1
454,1454,F,1290,1,Urban,Undertaking,1
455,1455,F,13340,8,Urban,Cooperative,1
456,1456,M,1700,52,Urban,Undertaking,1
457,1457,F,7459,14,Rural,Pvt,1
458,1458,F,96874,17,Rural,Undertaking,0
459,1459,M,1750,8,Urban,Cooperative,0
460,1460,F,40920,14,Rural,Undertaking,1
461,1461,F,96874,21,Rural,Cooperative,0
462,1462,M,3254,8,Urban,Pvt,1
463,1463,F,3340,6,Rural,Undertaking,0
464,1464,F,7210,4,Rural,Undertaking,1
465,1465,F,415,52,Rural,Undertaking,1
466,1466,F,900,20,Rural,Pvt,1
467,1467,M,1400,14,Rural,Pvt,0
468,1468,M,854,12,Rural,Undertaking,0
469,1469,F,520,9,Rural,Gvt,1
470,1470,F,1647,21,Urban,Gvt,1
471,1471,F,3254,15,Urban,Undertaking,1
472,1472,M,52000,8,Rural,Gvt,1
473,1473,M,1210,6,Urban,Cooperative,0
474,1474,F,854,18,Rural,Undertaking,1
475,1475,F,3254,15,Urban,Undertaking,1
476,1476,M,7220,15,Rural,Cooperative,0
477,1477,M,2500,6,Rural,Cooperative,1
478,1478,M,520,15,Rural,Cooperative,0
479,1479,M,7220,3,Urban,Undertaking,1
480,1480,F,9420,1,Rural,Gvt,1
481,1481,M,700,15,Rural,Cooperative,1
482,1482,M,42586,7,Rural,Pvt,0
483,1483,M,7220,14,Urban,Pvt,1
484,1484,F,1700,52,Urban,Undertaking,1
485,1485,M,1750,20,Urban,Cooperative,0
486,1486,F,40920,1,Urban,Cooperative,1
487,1487,F,52000,15,Rural,Gvt,1
488,1488,M,42586,14,Urban,Undertaking,1
489,1489,M,52000,4,Urban,Pvt,0
490,1490,M,10401,4,Urban,Cooperative,0
491,1491,M,415,15,Urban,Gvt,1
492,1492,F,8596,6,Rural,Gvt,0
493,1493,M,958,16,Urban,Pvt,0
494,1494,M,1210,8,Rural,Undertaking,1
495,1495,M,577,52,Rural,Undertaking,0
496,1496,M,400,9,Urban,Cooperative,0
497,1497,F,3340,15,Rural,Undertaking,1
498,1498,M,415,14,Rural,Cooperative,1
499,1499,M,153,9,Urban,Pvt,1
500,1500,F,99153200,17,Rural,Gvt,1
501,1501,F,24000,8,Urban,Undertaking,0
502,1502,F,7520,14,Urban,Undertaking,1
503,1503,F,26000,14,Urban,Cooperative,1
504,1504,M,42586,20,Urban,Undertaking,0
505,1505,F,1260,7,Urban,Undertaking,0
506,1506,F,24000,8,Urban,Undertaking,1
507,1507,M,4990,14,Rural,Cooperative,1
508,1508,F,520,8,Urban,Pvt,1
509,1509,F,1550,8,Urban,Pvt,1
510,1510,F,400,9,Rural,Gvt,1
511,1511,M,7220,16,Rural,Cooperative,1
512,1512,F,1487,4,Urban,Undertaking,1
513,1513,F,415,6,Urban,Cooperative,0
514,1514,M,1487,15,Rural,Pvt,0
515,1515,F,900,21,Urban,Pvt,0
516,1516,M,1290,1,Rural,Cooperative,1
517,1517,M,850,8,Rural,Gvt,1
518,1518,F,96874,6,Urban,Cooperative,1
519,1519,M,4990,1,Urban,Gvt,0
520,1520,M,900,4,Urban,Cooperative,0
521,1521,M,1260,14,Rural,Pvt,1
522,1522,M,10401,18,Urban,Pvt,0
523,1523,M,415,15,Rural,Cooperative,1
524,1524,M,26000,8,Urban,Undertaking,1
525,1525,M,4990,14,Urban,Gvt,1
526,1526,F,1210,3,Rural,Gvt,0
527,1527,F,577,6,Rural,Gvt,1
528,1528,F,5652,12,Urban,Undertaking,1
529,1529,F,153,6,Urban,Gvt,0
530,1530,M,99153200,17,Rural,Pvt,0
531,1531,F,15250,7,Urban,Undertaking,0
532,1532,M,3254,4,Rural,Gvt,0
533,1533,M,1700,8,Rural,Undertaking,0
534,1534,F,1550,15,Rural,Gvt,1
535,1535,M,1647,12,Urban,Cooperative,0
536,1536,M,6647,14,Urban,Gvt,0
537,1537,M,958,7,Urban,Pvt,0
538,1538,M,12670,14,Rural,Pvt,0
539,1539,M,6271,9,Rural,Gvt,0
540,1540,F,1647,14,Rural,Gvt,0
541,1541,F,153,18,Urban,Gvt,1
542,1542,F,2500,20,Rural,Undertaking,1
543,1543,F,1210,16,Urban,Cooperative,0
544,1544,F,2500,21,Rural,Gvt,1
545,1545,F,96874,15,Urban,Pvt,0
546,1546,M,1290,18,Rural,Undertaking,0
547,1547,F,3254,7,Urban,Cooperative,1
548,1548,F,10401,20,Rural,Cooperative,0
549,1549,M,1487,6,Urban,Pvt,1
550,1550,M,7520,18,Urban,Pvt,0
551,1551,M,6271,4,Rural,Gvt,0
552,1552,M,854,1,Urban,Gvt,0
553,1553,M,7520,8,Urban,Cooperative,0
554,1554,F,577,52,Urban,Pvt,0
555,1555,M,1400,9,Urban,Gvt,1
556,1556,M,4968,52,Rural,Gvt,1
557,1557,M,9420,7,Urban,Pvt,0
558,1558,M,7210,52,Rural,Undertaking,0
559,1559,F,1400,6,Urban,Gvt,0
560,1560,F,5652,7,Rural,Gvt,0
561,1561,M,577,14,Urban,Pvt,0
562,1562,F,6647,52,Urban,Pvt,0
563,1563,F,577,6,Urban,Cooperative,0
564,1564,F,22652,14,Urban,Pvt,1
565,1565,M,15250,8,Rural,Undertaking,0
566,1566,M,4968,6,Urban,Gvt,0
567,1567,F,1487,6,Rural,Pvt,0
568,1568,F,13340,3,Rural,Pvt,0
569,1569,F,850,12,Urban,Gvt,1
570,1570,M,854,14,Urban,Pvt,1
571,1571,M,6647,12,Rural,Cooperative,0
572,1572,M,99153200,15,Urban,Undertaking,0
573,1573,M,850,52,Urban,Gvt,0
574,1574,F,4579,8,Rural,Pvt,0
575,1575,F,7210,17,Rural,Cooperative,1
576,1576,F,1487,6,Urban,Gvt,1
577,1577,M,8596,20,Urban,Gvt,1
578,1578,M,8596,14,Rural,Pvt,0
579,1579,M,5289,9,Urban,Undertaking,1
580,1580,M,520,12,Rural,Cooperative,1
581,1581,M,900,7,Rural,Cooperative,1
582,1582,F,958,8,Rural,Cooperative,1
583,1583,F,153,6,Urban,Cooperative,0
584,1584,M,7210,4,Urban,Undertaking,1
585,1585,M,4579,21,Rural,Pvt,0
586,1586,M,7220,4,Rural,Gvt,0
587,1587,M,1550,15,Rural,Cooperative,0
588,1588,F,8596,3,Rural,Gvt,0
589,1589,M,12670,8,Rural,Gvt,1
590,1590,M,153,14,Rural,Gvt,0
